nb;time
3;1660
3;1066
3;1115
2;3343
6;4436
7;3996
1;746
1;813
6;2902
2;736
1;661
3;918
3;617
2;595
5;1061
7;2206
7;1824
5;1422
4;1688
2;891
3;899
6;1764
9;3884
2;862
2;624
3;652
6;1641
7;1758
9;2259
5;2326
3;1105
7;2657
2;947
5;1528
8;3229
9;2413
8;3386
5;1581
5;1408
5;1717
4;965
9;2395
1;1231
3;928
5;1726
3;1074
3;614
3;649
2;631
3;628
3;642
5;1416
9;2377
2;926
3;661
5;1735
5;1341
3;1029
5;1145
5;1184
5;1214
2;909
5;1834
5;1402
8;1672
4;1170
9;3057
3;987
9;2720
5;1568
4;2283
5;1415
9;1857
7;2598
8;1997
6;1994
4;1000
5;1020
5;1122
4;1069
9;2713
2;920
7;4102
5;1727
3;1479
5;1674
5;1057
3;948
7;2108
2;602
3;677
8;3803
2;1313
2;693
3;741
1;607
1;539
7;1782
5;1466
7;2210
5;1358
3;1026
9;1400
5;1489
2;815
9;3220
4;1214
8;2754
6;3020
4;951
5;1524
6;1831
3;1084
5;1713
1;564
4;1594
4;1174
7;2574
6;2302
5;1756
2;665
3;1162
3;908
8;2959
4;1333
6;1587
8;7919
7;2262
7;1838
7;1433
9;2711
2;981
6;1522
4;1568
4;1788
9;3478
1;655
8;3299
1;697
5;1660
1;569
3;789
6;2004
5;1504
1;497
2;895
7;3644
8;2875
4;1090
8;2121
5;4611
1;645
3;1165
3;606
5;1598
6;1730
3;788
5;1419
2;708
9;4395
2;651
1;571
2;558
9;2729
3;1022
3;753
6;1511
7;2491
7;1801
6;1761
4;2058
2;584
1;576
5;1677
3;906
7;2683
3;866
5;2019
4;972
4;1050
2;736
2;555
2;668
9;5042
5;1493
5;1771
5;1030
4;1513
7;2517
7;2325
1;954
5;1720
9;2997
6;1866
4;1408
4;1286
3;1056
6;1626
1;848
2;811
4;938
6;1993
2;963
3;959
9;2303
7;2873
5;2564
9;3081
4;1025
5;2798
6;1704
2;799
5;1516
4;1824
3;956
2;544
2;427
8;1235
7;2051
1;1022
5;1963
7;2035
6;2371
1;602
7;2066
2;667
2;500
8;2796
5;2370
3;888
7;3877
8;3211
5;3969
4;1357
3;996
9;3202
1;1335
5;1748
3;3605
3;969
1;540
8;2593
3;1003
3;1422
5;999
3;927
9;4615
2;1023
2;576
8;3292
8;3136
6;1658
6;2083
9;2985
1;1031
2;691
3;749
9;2748
3;1042
2;914
7;1983
9;2580
8;2942
9;4359
1;867
7;2549
5;1689
8;4833
7;4277
9;2890
5;1796
1;971
5;1767
5;3009
5;3908
4;1418
6;2843
8;2175
4;1355
4;1128
1;715
2;659
7;2685
4;1501
5;1186
5;1781
9;2860
3;1101
3;540
1;870
3;4264
8;2376
9;1459
6;2044
8;2273
8;1525
8;1777
5;1466
3;947
2;772
5;1038
7;1365
1;673
9;1734
3;1075
8;1844
5;1347
5;1515
1;683
7;4872
6;1954
5;971
2;844
5;1165
7;5979
6;1507
1;661
5;1492
3;923
5;917
5;1171
3;878
9;2480
4;1249
3;1651
7;3456
6;2300
9;2450
5;1267
4;1076
1;572
4;838
9;2146
3;946
3;628
5;998
9;1348
6;2049
7;1556
4;1003
8;1868
8;1467
8;1852
4;969
1;562
4;735
8;1580
3;1201
1;620
5;997
7;1835
5;1099
8;1758
6;1658
4;1092
5;1451
8;1756
9;1692
5;1099
2;827
7;1519
9;2122
7;1227
8;1865
1;1025
5;1157
6;1747
4;1188
8;1700
1;634
6;1709
5;1651
5;1380
5;1076
